PRIVATESHOPSEARCH_ALL	All
PRIVATESHOPSEARCH_BELT	Belts
PRIVATESHOPSEARCH_BLEND	Blends
PRIVATESHOPSEARCH_BUYTIME	Do you want to buy the selected item?
PRIVATESHOPSEARCH_DETACHMENT	Stone Handbook
PRIVATESHOPSEARCH_DS	Dragon Stone Alchemy
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Sapphire
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Ruby
PRIVATESHOPSEARCH_DS_WHITE	Diamond
PRIVATESHOPSEARCH_DS_YELLOW	Garnet
PRIVATESHOPSEARCH_METIN	Spirit Stones
PRIVATESHOPSEARCH_NEED_ITEM_FIND	You cannot search for any items without the correct bundle.
PRIVATESHOPSEARCH_POTION	Potions
PRIVATESHOPSEARCH_ROD	Fishing Poles
PRIVATESHOPSEARCH_SELECTITEM	Select an item.
PRIVATESHOPSEARCH_SKILLBOOK	Skill Books
PRIVATESHOPSEARCH_SKILLFORGET	Book of Forgetfulness
PRIVATESHOPSEARCH_TREASUREBOX	Chests
PRIVATESHOPSEARCH_USESPECIAL	Miscellaneous
CATEGORY_TUNING_RESOURCE	Materials
CATEGORY_TUNING	Upgrades
CATEGORY_ARMOR_ARMOR_BODY	Armour
CATEGORY_ARMOR_ARMOR_GLOVE	Gloves
CATEGORY_ARMOR_ARMOR_HEAD	Helmets
CATEGORY_ARMOR_ARMOR_SHIELD	Shields
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Hairstyles
CATEGORY_COSTUMES_COSTUME_WEAPON	Weapon Skins
CATEGORY_COSTUMES_SASH	Shoulder Sashes
CATEGORY_DRAGON_STONE	Dragon Stone Alchemy
CATEGORY_EQUIPMENT_ARMOR	Equipment
CATEGORY_EQUIPMENT_WEAPON	Weapons
CATEGORY_ETC	Other
CATEGORY_FISHING_PICK_FISHING_POLE	Fishing Rods
CATEGORY_FISHING_PICK_FOOD	Fish
CATEGORY_JEWELRY_ARMOR_EAR	Earrings
CATEGORY_JEWELRY_ARMOR_FOOTS	Shoes
CATEGORY_JEWELRY_ARMOR_NECK	Necklaces
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_ETC_POLYMORPH	Polymorph Marbles
CATEGORY_JEWELRY_ITEM_BELT	Belts
CATEGORY_POTION_ABILITY	Consumables
CATEGORY_WEAPON_WEAPON_ARROW	Arrows
CATEGORY_WEAPON_WEAPON_BELL	Bells
CATEGORY_WEAPON_WEAPON_BOW	Bows
CATEGORY_WEAPON_WEAPON_CLAW	Claws
CATEGORY_WEAPON_WEAPON_DAGGER	Daggers
CATEGORY_WEAPON_WEAPON_FAN	Fans
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spears
CATEGORY_WEAPON_WEAPON_QUIVER	Quivers
CATEGORY_WEAPON_WEAPON_SWORD	One-handed Weapons
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Two-handed Weapons
